#Table1
plate,mjd,fiberid,[OIII] 5007 flux,[OIII] 5007 flux err,Hbeta flux,Hbeta flux err,Halpha flux,Halpha flux err,[NII] 6583 flux,[NII] 6583 flux err
764,52238,231,49.40711,6.936547,119.125,6.671094,503.1718,11.46475,319.7461,10.91371
765,52254,563,221.2672,15.52543,118.2206,14.03254,246.12,21.25212,245.8423,20.50525
766,52247,271,95.70547,8.060999,44.00045,6.830678,140.2651,9.875976,210.8182,10.86907
767,52252,72,47.16491,6.526983,66.66055,5.609068,301.6982,9.860383,186.4405,9.843291
995,52731,299,125.7614,6.42898,31.65729,3.548462,58.20346,3.175152,81.42362,4.89149
1997,53442,131,571.0457,13.67737,1213.017,15.53976,5363.947,39.77324,4444.165,28.44792
1997,53442,272,186.5761,6.593705,953.8058,10.90772,3996.425,29.6949,1792.783,13.90315
2199,53556,122,91.32575,9.3468,59.40524,8.636283,181.6204,13.84243,300.6671,14.71106
2200,53875,441,226.585,8.71481,776.2769,11.18699,3296.398,46.97342,1894.952,18.14174
2201,53904,104,116.2104,8.639659,62.44405,8.330051,227.8456,14.13984,271.7705,13.09125
2617,54502,514,4497.978,31.80867,830.3254,10.15631,2613.398,21.6901,594.0681,8.519777
427,51900,528,168.3746,11.40574,109.4587,8.809713,395.4808,15.94549,262.1568,16.60967
428,51883,376,79.03995,7.867582,246.7487,7.749166,1114.876,14.4592,482.6453,11.98302
428,51883,449,71.53205,6.895496,34.75086,6.742038,153.5443,9.806324,213.8211,9.370986
428,51883,482,184.5202,8.072387,1115.458,12.46083,4548.184,30.6023,1716.851,15.32984
428,51883,545,18.58572,3.203973,31.51543,3.386699,95.02374,4.529397,80.13768,4.386142
429,51820,56,334.6782,12.57255,416.9622,13.07324,1233.817,21.59845,1096.429,20.11584
429,51820,218,97.33463,4.65392,91.89371,3.902649,415.9179,6.63141,423.598,7.05759
429,51820,432,56.18512,2.610944,70.29011,2.298239,277.9914,3.543074,154.0647,3.282947
432,51884,94,139.8146,7.567023,82.7543,6.473866,448.6612,12.76327,577.8047,13.44695
665,52168,398,355.7972,15.74606,272.3611,15.34225,978.3191,26.8807,871.1136,23.99163
666,52149,195,195.5715,8.081614,114.9784,6.461615,391.0006,10.65167,408.2613,11.29492
666,52149,270,46.15541,3.645706,89.9816,3.508876,306.5034,5.109126,184.7592,4.712066
666,52149,321,48.91881,3.358612,109.4191,3.374374,343.5617,4.910129,155.9269,4.132948
666,52149,534,50.12107,3.528708,39.82523,3.555642,113.4494,4.77323,132.9302,4.405072
666,52149,638,132.0547,8.729848,63.95876,7.18668,169.2926,10.85695,254.7631,12.24442
667,52163,216,1389.691,20.20708,3902.108,32.97121,16548.14,103.1265,6081.352,40.54163
667,52163,401,101.2632,10.76644,91.96197,9.455522,214.1108,14.25227,104.1592,13.45788
667,52163,561,124.3489,9.68077,85.57474,8.467617,255.7248,13.3987,300.8698,14.03831
667,52163,603,295.3614,9.58413,258.3612,7.820247,1040.686,15.33604,607.0221,13.05696
905,52643,497,24484.28,183.873,14679.14,112.6917,2.757685E+07,5015422,9508.756,69.9006
906,52368,534,9143.347,67.88912,3444.202,30.002,10139.75,79.909,1255.078,14.03738
1713,53827,229,152.9499,10.81401,131.5009,9.330186,559.1927,16.74577,667.9835,16.81781
1713,53827,288,118.6641,8.945068,74.73403,8.501215,144.7721,11.20957,126.4157,10.51282
1714,53521,376,568.8781,13.91887,150.6886,8.179737,468.9442,13.54809,389.582,13.70814
2666,54230,14,161.6243,9.753291,54.38554,8.684743,260.5184,14.73694,340.0758,14.16312
