RAJ2000	DEJ2000
216.5555	19.92353
216.5596	27.4989
216.66943	32.19776
216.70325	0.88979
216.81285	23.48639
216.85437	19.83117
216.95119	5.03946
216.95543	38.10492
217.14192	21.50397
217.37637	25.09153
217.39238	44.79693
217.41977	3.35719
217.42099	17.58763
217.42946	47.79062
217.50821	10.22478
217.66377	49.59415
217.74181	15.76547
217.82271	49.44173
217.84801	39.41706
217.87337	29.28659
217.89716	48.22288
218.11798	63.17516
218.23932	5.23159
218.4509	1.49378
218.577	49.21016
218.59572	32.67818
218.73048	57.39585
218.79291	49.80542
218.82355	18.93209
219.00648	4.80215
219.10869	31.55173
219.21461	34.60067
219.25626	26.67199
219.31303	54.87883
219.37694	7.85777
219.44949	28.50541
219.57004	7.5981
219.58603	41.94636
219.62598	35.65449
219.6385	10.33574
219.70346	28.59892
219.83047	55.22166
219.91783	3.09129
220.05313	61.94252
220.06677	20.35394
220.11891	63.51298
220.15971	8.67642
220.24098	54.97278
220.5118	43.6191
220.53207	38.7365
220.67	5.40646
220.7408	44.71711
220.7608	40.75698
220.76402	26.05829
220.838	19.06447
220.96365	37.87732
220.99896	1.49897
221.06111	6.55188
221.1947	59.17985
221.2076	14.85081
221.28929	15.48982
221.29224	30.83252
221.35516	21.75313
221.35768	38.14327
221.3734	36.77078
221.39476	46.64323
221.50357	22.55161
221.57536	41.33418
221.69142	40.58494
221.76196	27.62964
221.94594	0.92169
221.95332	62.74578
222.10457	35.99629
222.18289	25.52132
222.21992	3.9663
222.3658	45.7561
222.37704	-0.79621
222.44037	42.37867
222.52139	46.58926
222.61105	58.66248
222.64603	32.68591
222.70886	12.84332
222.78651	27.15748
222.8764	27.33852
222.92848	61.12996
222.96474	59.23336
223.15788	44.99229
223.20541	7.41027
223.2818	38.05546
223.33969	12.94075
223.38113	26.82966
223.44043	34.55563
223.49887	9.26205
223.63936	61.28397
223.64311	8.0602
224.03596	38.01072
224.03606	27.83577
224.04491	52.87834
224.10002	42.30006
224.149	31.88417
224.33865	26.18867
224.5726	45.92082
224.57652	48.67596
224.60194	36.5221
224.66841	19.87184
224.7072	19.17597
224.74715	53.58658
224.8008	37.47339
224.8786	53.38797
225.31026	39.65771
225.49626	30.88352
225.51709	6.75446
225.69687	60.40243
225.72551	7.69882
226.03528	14.52314
226.08711	1.8665
226.54376	2.28056
226.61018	3.11664
226.81383	8.30918
226.84193	51.33102
227.30362	53.47321
227.30748	17.95278
227.46747	11.17974
227.50128	17.13265
227.58855	-2.06743
227.75792	52.06391
227.76669	3.25809
227.7914	42.57627
227.88055	50.37194
227.88557	10.16477
228.15442	1.47912
228.32585	1.16461
228.35796	46.90223
228.4045	20.19267
228.43057	46.26311
228.46458	26.39949
228.55244	-0.05328
228.58553	42.74594
228.72195	5.61024
228.78096	6.95232
228.99066	30.39921
229.00163	57.40437
229.20442	49.50253
229.36864	28.93783
229.4323	7.02268
229.78055	52.10167
229.84021	59.13999
229.85664	44.13216
229.9006	28.64101
230.0343	46.27093
230.3094	22.46219
230.37639	27.73891
230.40128	24.4816
230.41528	3.6248
230.47418	59.67225
230.5157	0.1912
230.52112	1.44072
230.82791	30.80721
231.0804	27.95578
231.09229	26.70657
231.11946	30.54376
231.12225	35.25613
231.14195	49.18947
