plate,mjd,fiberid,Hbeta flux,Hbeta flux err,redshift
611,52055,341,358.8935,5.369879,0.2803703
611,52055,201,233.7183,5.026857,0.2826588
609,52339,435,166.9964,4.511124,0.2301357
1285,52723,484,55.15951,5.105999,0.2016272
1285,52723,39,834.8927,13.38132,0.1514203
1778,53883,283,99.04922,5.254499,0.2384233
1667,53430,84,381.1491,5.933999,0.2330132
1673,53462,270,67.73324,4.895164,0.199074
1669,53433,63,719.9677,9.15537,0.2932138
1696,53116,445,216.2386,5.038955,0.2983111
1770,53171,58,457.1269,6.970682,0.2664749
1771,53498,107,1963.768,14.57451,0.2852145
1773,53112,211,393.8115,6.114218,0.1967043
2124,53770,91,1565.531,15.60969,0.1303311
2246,53767,66,2033.969,18.78632,0.0863796
2115,53535,556,146.7687,4.310643,0.2988524
2132,53493,155,647.4112,8.204117,0.2327143
2239,53726,239,1505.347,12.31685,0.1934278
312,51689,639,307.7378,8.212964,0.2399111
784,52327,253,135.408,4.675119,0.2512348
1372,53062,589,240.5085,6.055345,0.191827
1351,52790,424,627.5483,8.057668,0.2617957
1351,52790,103,125.6766,8.177523,0.2047822
1676,53147,518,1055.885,10.23464,0.2855433
1041,52724,285,334.2975,5.967085,0.2799852
1672,53460,363,237.2337,5.370822,0.1854482
1672,53460,619,942.0079,12.18745,0.1798888
1841,53491,317,518.0533,7.946239,0.2018719
1842,53501,67,437.241,7.957259,0.2753552
2023,53851,531,480.0306,10.0766,0.282989
2607,54184,178,155.4419,3.410408,0.2763289
2743,54259,26,255.7214,6.103804,0.2151691
2743,54259,581,409.3099,5.136992,0.2196604
2746,54232,150,562.0349,5.939371,0.2413164
2746,54232,158,373.9967,6.933942,0.2561927
1290,52734,264,384.6723,6.806991,0.2627973
1318,52781,620,89.90127,4.337484,0.2779047
1323,52797,443,2143.585,17.12186,0.1215033
1455,53089,68,835.6785,12.55929,0.1499933
1651,53442,373,479.9867,6.384694,0.2409074
1985,53431,429,67.56476,3.541304,0.2493404
2005,53472,441,468.7558,7.966471,0.1790504
1642,53115,454,907.2689,11.97984,0.1844595
1645,53172,618,81.72304,4.275988,0.2620519
2614,54481,350,370.0913,6.064452,0.2393598
2614,54481,279,778.7159,13.93076,0.1602625
846,52407,596,703.1163,10.68857,0.1647449
1790,53876,217,37.66515,2.796381,0.2401559
960,52425,214,1209.838,9.753288,0.1238792
1796,53884,283,689.6315,10.95853,0.1716289
1804,53886,238,157.8835,5.32017,0.2424477
1831,54557,501,2066.256,16.2699,0.2876647
1796,53884,199,231.5889,6.137568,0.2568817
1811,53533,15,494.93,8.234165,0.2299342
1814,54555,125,1256.502,13.97002,0.1622115
2018,53800,534,203.2156,9.034833,0.2129434
2101,53858,496,215.9268,4.720804,0.2419932
2021,53475,595,998.0123,10.34504,0.270842
2005,53472,40,772.0214,11.35407,0.171704
2757,54509,462,101.603,5.187167,0.2308016
613,52345,152,399.4718,5.96874,0.2860429
294,51986,260,131.7802,6.898887,0.2078367
308,51662,43,174.6231,6.168119,0.2524521
298,51955,103,159.7934,6.61277,0.2960864
300,51943,272,993.4495,9.621815,0.2447907
957,52398,520,118.7445,4.30922,0.2399261
1354,52814,466,252.4941,5.50493,0.2494513
1344,52792,615,167.0749,6.858883,0.2574271
1675,53466,62,110.4995,4.730334,0.2880693
2774,54534,38,221.7117,6.635383,0.2587776
526,52312,431,287.547,4.007649,0.2619666
532,51993,635,117.3503,7.076953,0.2951642
539,52017,552,118.7833,4.021636,0.1827677
539,52017,586,2292.539,19.33715,0.1346648
